|            Name|       raStr|      decStr| amaj| amin|  pa_new| FWHM|    vlsr|  Dist_B| sigma_D|        Ref|Dark70|
|            char|        char|        char| long| long|  double| long|  double|  double|  double|       char|  char|
|                |            |            |     |     |        |     |        |        |        |           |      |
|            null|        null|        null| null| null|    null| null|    null|    null|    null|       null|  null|
 G002.9836+0.0107 17h52m31.08s -26d22m23.2s    37    26     83.6    31     null     null     null        null      Y 
 G003.0371-0.0582 17h52m54.26s -26d21m43.6s    63    50     36.6    56     null     null     null        null      Y 
 G003.0928+0.1680 17h52m09.74s -26d11m56.4s    54    44    135.6    49     null     null     null        null      Y 
 G003.1447+0.4733 17h51m06.67s -25d59m54.6s    35    26    115.8    30     null     null     null        null      N 
 G003.2110+0.6465 17h50m36.00s -25d51m10.4s    43    38    146.8    40     null     null     null        null      N 
 G003.2278+0.4924 17h51m13.61s -25d55m02.3s    55    30     89.7    41     null     null     null        null      N 
 G003.2413+0.6334 17h50m43.13s -25d50m01.0s    38    24     48.8    30    40.67     3.96     1.57      malt90      Y 
 G003.2702+0.4446 17h51m30.36s -25d54m19.1s    56    39     16.7    47     null     null     null        null      N 
 G004.4076+0.0993 17h55m22.99s -25d06m01.8s    23    20    163.3    21     null     null     null        null      Y 
 G004.7473-0.7623 17h59m25.82s -25d14m17.9s    41    31    126.9    36     null     null     null        null      Y 
 G005.3876+0.1874 17h57m13.01s -24d12m32.4s    31    20    110.1    25    10.58     2.94     0.15   Wienen+12      N 
 G005.8357-0.9958 18h02m42.02s -24d24m31.0s    41    29    173.5    35     null     null     null        null      N 
 G005.8523-0.2397 17h59m51.34s -24d01m10.9s    36    32      3.8    34    16.69     2.96     0.15 Csengeri+14      Y 
 G005.8799-0.3591 18h00m22.15s -24d03m18.7s    33    25    176.8    29     null     null     null        null      N 
 G005.8893-0.4565 18h00m45.60s -24d05m43.1s    28    20    170.7    23     9.22     2.93     0.15 Csengeri+14      N 
 G005.8917-0.3567 18h00m23.14s -24d02m37.3s    48    20     48.8    30     null     null     null        null      N 
 G005.9394-0.3754 18h00m33.65s -24d00m41.4s    43    20     63.8    29     null     null     null        null      N 
 G006.2130-0.5937 18h01m59.02s -23d52m55.2s    39    20    127.6    27    18.38     2.95     0.15   Wienen+12      N 
