|            Name|    sName|      ra|     dec|amaj|amin|  PA|FWHM|    Sp|  Sint|   S_N|  Dist|          VLSR|             l|                b|      amaj_36|      amin_36|      fwhm_eq|Dist_B|sigma_D|              Nh2|        Tdust|     mass_1kpc|         Lum_1kpc|       Mclump|           Lclump|     L_M_ratio|           r_pc|         n_H2|
|            char|     char|  double|  double|long|long|long|long|double|double|double|double|        double|        double|           double|       double|       double|       double|double| double|           double|       double|        double|           double|       double|           double|        double|         double|       double|
|                |         |     deg|     deg|arcs|arcs| deg|arcs|    Jy|    Jy|      |      |              |              |                 |             |             |             |      |       |                 |             |              |                 |             |                 |              |               |             |
|            null|     null|    null|    null|null|null|null|null|  null|  null|  null|  null|          null|          null|             null|         null|         null|         null|  null|   null|             null|         null|          null|             null|         null|             null|          null|           null|         null|
 G014.3314-0.6446 G014_3314 274.7273 -16.7975   26   24  -32   25  14.09   24.0 130.07    1.1           22.0  14.3313981519    -0.64465800575 20.1290213374  19.498140937  15.612494996   1.86     0.1 2.49621833458e+23 20.7504363664  130.383323263     625.171029111  451.07414516     2162.84169231  4.79486956972  0.144100087949 519538.293713 
 G014.4884+0.0184 G014_4884  274.196 -16.3449   58   25   91   38   1.14   4.51  16.76    2.6  22.2000007629  14.4884611172   0.0182864893233 32.8203823866 19.8097829367 32.7070328829  14.37    0.31 4.18656488683e+22  18.964746214  36.0686082441     133.250764733 7448.05578973       27515.86984  3.69436945919   2.29095619582 2134.78887842 
 G014.6065+0.0131 G014_6065 274.2592 -16.2435   38   27   62   32   2.45   6.91  35.47    2.9  25.1000003815  14.6065067455   0.0130897771561 24.4372154715 20.4555004828 25.4116115191  13.33    0.26 8.56089385407e+22 20.0402945398  53.1489791823     261.467273123 9443.98364702     46459.8321472  4.91951636976   1.65693950744 7154.80222397 
 G014.7780-0.3340 G014_7780 274.6623 -16.2571   24   21   68   23   0.84   1.18  13.12   13.1  33.2000007629  14.7780256986   -0.334087413534  19.498140937 18.6125629616 11.1242977306   2.97    0.32 2.50988671992e+22 18.5410398844  13.5099127089     43.0454556477 119.169589014     379.699659723  3.18621271471  0.167523789697 87357.1267314 
 G015.0292-0.6706 G015_0292 275.0949 -16.1947   47   32  108   39  16.36  66.41  90.03    2.0           19.0  15.0292419608    -0.67071784304 28.0789511912  22.185073811 33.5223805837   1.84    0.08 1.69121694763e+23 31.7491421705  181.897373304     10377.9366659 615.831747059     35135.5423759  57.0538016978  0.300579587819 78153.0599129 
 G015.1840-0.1587 G015_1840 274.7016 -15.8165   40   37  147   38   0.97   3.88  12.57    4.8  60.2999992371  15.1840485243   -0.158862942805 25.2225593467 24.0505197449 33.1624787976   4.75    0.23 3.90080555698e+22 20.1379655004  28.2384126007       153.0468677 637.129184302     3453.11995248  5.41981129974  0.767707630569 4852.91063072 
 G015.1933-0.6277 G015_1933  275.136 -16.0297   35   25  -13   29   3.97   9.34  35.58    2.0           20.5  15.1933834944   -0.627762885417 23.2900729926 19.8097829367 22.2429764195   1.86     0.1 1.00520684619e+23 21.0399879312  54.6204611783     410.541657045 188.964947492     1420.30991671  7.51626127258  0.202916567209 77945.5090692 
 G016.1442+0.0091 G016_1442 275.0186 -14.8909   26   24  139   25   0.94   1.61  13.26   12.4  44.7999992371  16.1442433657  0.00908046226595 20.1290213374  19.498140937  15.612494996   3.44    0.21 2.13099941848e+22  19.718761577   10.737512499     51.1980887498 127.063427908      605.85770303  4.76815172553  0.266507689539 23134.1582152 
 G016.9434-0.0729 G016_9434 275.4824 -14.2245   28   25   44   26   1.27   2.42  20.59   17.1 -4.19999980927  16.9435292254  -0.0730688112333 20.7888792387 19.8097829367 17.8815547422  15.94    0.35 1.45710853923e+22 27.3185219955  7.71206081247     242.989827565 1959.50817465     61739.7301511  31.5077686074   1.40673801785 2425.88255947 
 G016.9509+0.7791 G016_9509 274.7115 -13.8162   29   24   80   26   1.21   2.23  14.91    2.5  24.8999996185  16.9509175815    0.779021148106 21.1288310136  19.498140937 17.7693556439   1.86    0.12 1.79613179291e+22 21.6152737239  8.60502468864      83.630434183 29.7699434128     289.327850099  9.71879073089  0.163155086207 23623.1889973 
