|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |     Sp |   Sint |    S_N |
|   136 | G305.2719-0.0309 | 197.9857 | -62.8096 |   34 |   19 |  66 |   26 |   0.57 |   1.01 |   5.47 |
|   137 | G305.2725+0.2959 | 197.9307 | -62.4837 |   39 |   23 |  26 |   30 |   1.47 |   3.64 |  16.97 |
|   138 | G305.2729-0.0179 | 197.9857 | -62.7965 |   36 |   19 | 143 |   26 |   0.58 |   1.06 |   5.18 |
|   141 | G305.3072-0.0391 | 198.0641 | -62.8149 |   38 |   26 | -33 |   31 |   1.50 |   4.03 |  15.54 |
|   142 | G305.3137+0.0726 | 198.0587 | -62.7031 |   57 |   22 | 110 |   35 |   0.52 |   1.74 |   5.42 |
|   143 | G305.3187+0.3130 | 198.0276 | -62.4630 |   30 |   28 |  66 |   29 |   0.51 |   1.16 |   6.03 |
|   145 | G305.3209+0.0706 | 198.0747 | -62.7044 |   27 |   25 |  39 |   26 |   1.52 |   2.78 |  16.58 |
|   147 | G305.3492+0.2039 | 198.1125 | -62.5692 |   25 |   19 | 109 |   22 |   2.49 |   3.21 |  20.90 |
|   148 | G305.3566+0.1941 | 198.1302 | -62.5784 |   37 |   19 | 147 |   27 |   1.33 |   2.54 |  10.55 |
|   149 | G305.3570+0.2033 | 198.1294 | -62.5692 |   35 |   28 |  67 |   32 |   7.61 |  20.53 |  57.06 |
|   150 | G305.3606+0.2165 | 198.1349 | -62.5558 |   48 |   19 |  98 |   30 |   0.74 |   1.85 |   6.04 |
|   151 | G305.3606+0.1589 | 198.1452 | -62.6132 |   29 |   19 | -18 |   24 |   0.79 |   1.18 |   6.57 |
|   152 | G305.3610+0.1864 | 198.1411 | -62.5858 |   86 |   22 |  44 |   44 |   4.81 |  25.35 |  38.19 |
|   153 | G305.3617+0.1514 | 198.1490 | -62.6206 |   29 |   22 |  80 |   25 |   5.45 |   9.59 |  47.14 |
|   154 | G305.3666+0.2130 | 198.1485 | -62.5588 |   26 |   25 |  81 |   26 |   5.74 |  10.22 |  46.90 |
|   155 | G305.3683+0.1655 | 198.1608 | -62.6059 |   34 |   22 |  94 |   27 |   1.55 |   3.16 |  12.99 |
|   156 | G305.3743+0.2614 | 198.1565 | -62.5099 |   50 |   28 |  -2 |   38 |   0.92 |   3.52 |   9.01 |
|   157 | G305.3834+0.2565 | 198.1770 | -62.5141 |   30 |   22 | 111 |   26 |   0.74 |   1.32 |   7.38 |
|   158 | G305.3836-0.2340 | 198.2667 | -63.0029 |   40 |   30 |  17 |   35 |   0.90 |   2.92 |   9.06 |
