|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |     Sp |   Sint |    S_N |
|  5342 | G359.5534+0.0387 | 266.1004 | -29.2969 |   34 |   30 |  88 |   32 |   0.51 |   1.40 |   7.65 |
|  5345 | G359.5551+0.0005 | 266.1387 | -29.3154 |   48 |   30 | -17 |   38 |   0.53 |   2.09 |   7.95 |
|  5346 | G359.5575-0.0933 | 266.2320 | -29.3624 |   64 |   44 | 106 |   53 |   1.14 |   8.71 |  17.83 |
|  5348 | G359.5622-0.2177 | 266.3566 | -29.4233 |   49 |   34 |  76 |   41 |   0.61 |   2.75 |   9.03 |
|  5349 | G359.5629+0.1122 | 266.0343 | -29.2503 |   48 |   30 |   9 |   38 |   0.65 |   2.54 |  10.72 |
|  5350 | G359.5643-0.0738 | 266.2169 | -29.3463 |   47 |   36 | 132 |   42 |   0.63 |   2.96 |   9.85 |
|  5352 | G359.5649-0.1611 | 266.3027 | -29.3915 |   46 |   37 | 116 |   41 |   0.90 |   4.12 |  12.94 |
|  5356 | G359.5701-0.0096 | 266.1576 | -29.3079 |   33 |   28 |  15 |   30 |   0.51 |   1.27 |   8.34 |
|  5357 | G359.5708-0.2048 | 266.3491 | -29.4092 |   44 |   41 |  24 |   43 |   0.75 |   3.69 |  11.21 |
|  5359 | G359.5728-0.2569 | 266.4013 | -29.4347 |   36 |   32 |   9 |   34 |   0.65 |   2.06 |   9.79 |
|  5360 | G359.5735+0.0034 | 266.1470 | -29.2982 |   39 |   29 | -20 |   33 |   0.99 |   2.98 |  14.92 |
|  5362 | G359.5740-0.0673 | 266.2164 | -29.3347 |   56 |   30 |  69 |   41 |   0.55 |   2.56 |   8.62 |
|  5366 | G359.5948-0.1700 | 266.3294 | -29.3705 |   30 |   26 |  19 |   28 |   0.56 |   1.19 |   8.59 |
|  5368 | G359.5985-0.2361 | 266.3963 | -29.4018 |   42 |   20 |  39 |   29 |   1.09 |   2.55 |  16.51 |
|  5369 | G359.5988-0.2212 | 266.3819 | -29.3938 |   52 |   35 | 116 |   43 |   1.91 |   9.43 |  26.62 |
|  5370 | G359.5988+0.0149 | 266.1509 | -29.2706 |   52 |   38 |  33 |   44 |   1.00 |   5.31 |  14.17 |
|  5371 | G359.6042-0.0332 | 266.2011 | -29.2912 |   44 |   25 |  42 |   33 |   1.09 |   3.19 |  16.21 |
|  5372 | G359.6067-0.0216 | 266.1912 | -29.2830 |   31 |   21 | 118 |   26 |   0.59 |   1.07 |   9.03 |
|  5375 | G359.6100-0.1578 | 266.3265 | -29.3513 |   40 |   32 |  70 |   36 |   0.52 |   1.81 |   7.72 |
|  5376 | G359.6101+0.0180 | 266.1546 | -29.2593 |   39 |   27 | -19 |   33 |   0.62 |   1.78 |   9.12 |
|  5377 | G359.6103-0.2136 | 266.3813 | -29.3801 |   49 |   20 |  54 |   31 |   0.96 |   2.54 |  13.69 |
|  5378 | G359.6128-0.2300 | 266.3989 | -29.3865 |   43 |   30 |  43 |   36 |   2.34 |   8.25 |  28.94 |
|  5379 | G359.6137-0.0371 | 266.2107 | -29.2851 |   32 |   22 |  72 |   27 |   0.70 |   1.35 |  10.69 |
|  5380 | G359.6158-0.2429 | 266.4133 | -29.3907 |   27 |   25 |  67 |   26 |  10.47 |  19.08 | 119.00 |
|  5383 | G359.6209-0.0994 | 266.2759 | -29.3114 |   76 |   30 |  13 |   48 |   0.70 |   4.30 |  10.76 |
|  5384 | G359.6241-0.2461 | 266.4214 | -29.3852 |   29 |   24 | 100 |   27 |   1.72 |   3.28 |  26.03 |
|  5385 | G359.6246+0.0235 | 266.1580 | -29.2441 |   39 |   33 |  40 |   36 |   0.60 |   2.06 |   8.62 |
|  5387 | G359.6329-0.1297 | 266.3127 | -29.3170 |   36 |   26 |  14 |   31 |   1.87 |   4.75 |  29.33 |
|  5388 | G359.6364-0.2397 | 266.4225 | -29.3714 |   26 |   22 | 159 |   24 |   0.99 |   1.51 |  14.81 |
|  5395 | G359.6454-0.0251 | 266.2178 | -29.2518 |   57 |   25 |  21 |   38 |   0.59 |   2.30 |   8.58 |
|  5396 | G359.6465-0.1366 | 266.3276 | -29.3090 |   48 |   34 |  32 |   41 |   0.85 |   3.81 |  13.21 |
|  5397 | G359.6537-0.1270 | 266.3225 | -29.2979 |   44 |   20 | 119 |   30 |   0.54 |   1.30 |   8.47 |
|  5398 | G359.6540-0.0064 | 266.2048 | -29.2347 |   43 |   25 |  -8 |   33 |   0.73 |   2.13 |  10.87 |
|  5399 | G359.6542-0.1156 | 266.3117 | -29.2915 |   34 |   19 |  81 |   26 |   0.51 |   0.90 |   7.82 |
|  5400 | G359.6545-0.2987 | 266.4911 | -29.3866 |   55 |   27 | -10 |   39 |   0.82 |   3.31 |  12.22 |
|  5404 | G359.6625-0.1137 | 266.3148 | -29.2834 |   35 |   35 |  49 |   35 |   0.63 |   2.10 |   9.59 |
|  5406 | G359.6659-0.2990 | 266.4982 | -29.3771 |   25 |   22 |  17 |   23 |   0.53 |   0.80 |   8.33 |
|  5409 | G359.6749-0.1772 | 266.3843 | -29.3060 |   45 |   35 | -12 |   39 |   0.74 |   3.12 |  11.43 |
|  5415 | G359.6815-0.0842 | 266.2973 | -29.2518 |   43 |   43 |  28 |   43 |   0.92 |   4.53 |  13.71 |
|  5416 | G359.6820-0.0166 | 266.2315 | -29.2161 |   47 |   41 |   3 |   44 |   0.55 |   2.86 |   8.41 |
|  5422 | G359.6897+0.0159 | 266.2043 | -29.1926 |   56 |   40 |  80 |   48 |   0.74 |   4.60 |  10.64 |
|  5425 | G359.6930-0.0658 | 266.2861 | -29.2324 |   48 |   28 | 114 |   37 |   1.44 |   5.30 |  21.46 |
|  5428 | G359.6956-0.2986 | 266.5155 | -29.3515 |   32 |   19 |  69 |   24 |   0.61 |   0.98 |   9.63 |
|  5432 | G359.7003+0.0388 | 266.1884 | -29.1715 |   56 |   30 | 117 |   40 |   0.67 |   2.97 |   9.67 |
|  5434 | G359.7026-0.2601 | 266.4821 | -29.3255 |   27 |   22 |  38 |   24 |   0.62 |   0.99 |   9.20 |
|  5444 | G359.7119+0.0473 | 266.1870 | -29.1573 |   42 |   34 | -32 |   38 |   1.18 |   4.57 |  17.38 |
|  5446 | G359.7162-0.3741 | 266.6018 | -29.3731 |   33 |   29 |  37 |   31 |   2.64 |   6.95 |  41.11 |
|  5450 | G359.7242-0.3799 | 266.6122 | -29.3694 |   39 |   25 | 132 |   31 |   0.54 |   1.43 |   8.24 |
|  5451 | G359.7269-0.0589 | 266.2997 | -29.1999 |   42 |   28 | 148 |   34 |   0.53 |   1.69 |   7.66 |
|  5457 | G359.7338-0.1639 | 266.4065 | -29.2488 |   39 |   20 |  24 |   28 |   0.51 |   1.09 |   7.06 |
|  5458 | G359.7340+0.0032 | 266.2433 | -29.1615 |   62 |   29 |  90 |   43 |   1.14 |   5.60 |  16.14 |
|  5460 | G359.7426+0.0302 | 266.2220 | -29.1400 |   50 |   30 | 103 |   38 |   0.88 |   3.51 |  12.77 |
|  5461 | G359.7435+0.0196 | 266.2329 | -29.1448 |   38 |   23 | -36 |   30 |   0.69 |   1.63 |  10.12 |
|  5463 | G359.7475-0.0359 | 266.2896 | -29.1704 |   32 |   29 | -19 |   30 |   0.59 |   1.49 |   8.61 |
|  5464 | G359.7484-0.1023 | 266.3549 | -29.2042 |   51 |   42 | 100 |   46 |   0.84 |   4.81 |  12.06 |
|  5466 | G359.7513-0.1447 | 266.3981 | -29.2239 |   35 |   32 |  80 |   33 |   0.82 |   2.45 |  11.76 |
|  5467 | G359.7524+0.0426 | 266.2159 | -29.1252 |   54 |   35 |  95 |   43 |   0.91 |   4.66 |  12.76 |
|  5472 | G359.7723-0.0925 | 266.3596 | -29.1787 |   40 |   19 |  23 |   28 |   0.65 |   1.33 |   9.69 |
|  5473 | G359.7781-0.0852 | 266.3560 | -29.1699 |   41 |   34 | 127 |   37 |   0.93 |   3.48 |  13.52 |
|  5475 | G359.7822-0.1284 | 266.4006 | -29.1890 |   24 |   21 | -29 |   22 |   0.62 |   0.85 |   8.49 |
|  5478 | G359.7865-0.1380 | 266.4126 | -29.1903 |   58 |   31 | 140 |   43 |   1.17 |   5.83 |  17.08 |
|  5481 | G359.7962-0.1415 | 266.4218 | -29.1838 |   40 |   23 | 148 |   30 |   0.52 |   1.29 |   7.45 |
|  5486 | G359.8153+0.0262 | 266.2694 | -29.0801 |   26 |   23 | 125 |   24 |   0.62 |   0.98 |   8.98 |
|  5488 | G359.8170-0.0731 | 266.3674 | -29.1305 |   24 |   20 |  51 |   22 |   0.59 |   0.77 |   7.64 |
|  5489 | G359.8184-0.1286 | 266.4225 | -29.1582 |   46 |   20 | -21 |   30 |   0.55 |   1.36 |   7.43 |
|  5490 | G359.8193+0.0365 | 266.2617 | -29.0713 |   50 |   39 | 139 |   44 |   0.86 |   4.52 |  12.92 |
|  5491 | G359.8248+0.0227 | 266.2785 | -29.0738 |   52 |   46 | 104 |   49 |   1.21 |   7.80 |  18.41 |
|  5493 | G359.8326+0.0404 | 266.2659 | -29.0579 |   60 |   22 | 107 |   36 |   0.62 |   2.25 |   9.26 |
|  5497 | G359.8404-0.1180 | 266.4252 | -29.1339 |   32 |   24 | -23 |   28 |   0.66 |   1.39 |   7.89 |
|  5498 | G359.8448+0.0275 | 266.2858 | -29.0542 |   47 |   27 |  25 |   36 |   0.56 |   1.91 |   7.56 |
|  5499 | G359.8486-0.0738 | 266.3869 | -29.1039 |   42 |   34 |  30 |   38 |   2.88 |  11.29 |  33.09 |
|  5500 | G359.8514-0.3319 | 266.6411 | -29.2358 |   32 |   27 | 127 |   29 |   0.75 |   1.74 |  10.81 |
|  5501 | G359.8528-0.0862 | 266.4016 | -29.1067 |   40 |   28 |  88 |   33 |   3.28 |   9.85 |  37.14 |
|  5502 | G359.8552-0.1079 | 266.4241 | -29.1160 |   28 |   21 |  52 |   25 |   0.81 |   1.33 |   8.84 |
|  5503 | G359.8588-0.0758 | 266.3949 | -29.0962 |   20 |   19 | 108 |   20 |   1.06 |   1.12 |  10.47 |
|  5504 | G359.8620-0.2623 | 266.5792 | -29.1905 |   51 |   32 |  82 |   40 |   0.57 |   2.48 |   7.91 |
|  5505 | G359.8643+0.0214 | 266.3033 | -29.0409 |   64 |   32 |  23 |   46 |   1.75 |   9.81 |  22.53 |
|  5506 | G359.8663-0.0826 | 266.4060 | -29.0933 |   62 |   27 |  -1 |   41 |   7.37 |  33.18 |  61.29 |
|  5507 | G359.8690-0.1026 | 266.4272 | -29.1015 |   50 |   34 | -11 |   41 |   1.65 |   7.53 |  16.72 |
|  5508 | G359.8710-0.0660 | 266.3926 | -29.0807 |   41 |   19 |  -5 |   28 |   0.55 |   1.19 |   5.53 |
|  5511 | G359.8752+0.0256 | 266.3057 | -29.0293 |   27 |   19 |  47 |   23 |   0.56 |   0.80 |   7.50 |
|  5512 | G359.8768-0.0884 | 266.4179 | -29.0874 |   20 |   19 |  67 |   20 |   0.98 |   1.04 |   9.59 |
|  5513 | G359.8769-0.0787 | 266.4086 | -29.0823 |   30 |   19 |  48 |   24 |   1.77 |   2.76 |  17.87 |
|  5514 | G359.8854-0.0763 | 266.4113 | -29.0737 |   56 |   24 |  11 |   37 |   3.07 |  11.24 |  27.81 |
|  5515 | G359.8885-0.0984 | 266.4348 | -29.0826 |   70 |   21 |  14 |   38 |   2.13 |   8.36 |  19.95 |
|  5516 | G359.8897+0.0274 | 266.3126 | -29.0160 |   50 |   24 |  42 |   35 |   0.54 |   1.79 |   7.42 |
|  5517 | G359.8911+0.0098 | 266.3306 | -29.0240 |   32 |   20 |  33 |   26 |   0.55 |   0.98 |   7.24 |
|  5518 | G359.8942-0.0691 | 266.4095 | -29.0625 |   51 |   34 |  10 |   42 |   4.50 |  21.45 |  39.38 |
|  5520 | G359.9015-0.0972 | 266.4413 | -29.0710 |   30 |   19 |  -2 |   24 |   1.47 |   2.27 |  13.27 |
|  5521 | G359.9018+0.0161 | 266.3309 | -29.0116 |   57 |   32 |  -9 |   43 |   1.11 |   5.47 |  13.71 |
|  5522 | G359.9030+0.0417 | 266.3066 | -28.9972 |   34 |   25 |  -6 |   29 |   1.19 |   2.72 |  17.12 |
|  5523 | G359.9070-0.0655 | 266.4136 | -29.0497 |   29 |   22 |  54 |   25 |   0.83 |   1.45 |   7.49 |
|  5524 | G359.9092-0.0433 | 266.3932 | -29.0363 |   29 |   19 | 136 |   24 |   0.69 |   1.04 |   6.73 |
|  5525 | G359.9106+0.0261 | 266.3264 | -28.9989 |   30 |   22 |  80 |   26 |   0.63 |   1.12 |   8.28 |
|  5526 | G359.9117-0.3045 | 266.6501 | -29.1700 |   43 |   32 |  28 |   37 |   1.35 |   5.02 |  19.83 |
|  5527 | G359.9131-0.1299 | 266.4802 | -29.0780 |   44 |   24 | 135 |   33 |   0.99 |   2.93 |  11.45 |
|  5529 | G359.9160-0.0472 | 266.4011 | -29.0324 |   38 |   25 | 129 |   31 |   1.48 |   3.89 |  14.82 |
|  5530 | G359.9170-0.0653 | 266.4194 | -29.0411 |   46 |   36 |  -3 |   41 |   2.45 |  11.06 |  23.30 |
|  5531 | G359.9174+0.0360 | 266.3208 | -28.9878 |   38 |   23 |  16 |   29 |   0.55 |   1.30 |   7.22 |
|  5533 | G359.9214+0.0276 | 266.3313 | -28.9889 |   40 |   40 |  28 |   40 |   1.04 |   4.49 |  12.76 |
|  5534 | G359.9226-0.0386 | 266.3967 | -29.0223 |   30 |   19 |  19 |   24 |   0.77 |   1.19 |   7.53 |
|  5535 | G359.9228+0.1581 | 266.2050 | -28.9196 |   30 |   22 | 130 |   26 |   0.97 |   1.75 |  14.27 |
|  5536 | G359.9234-0.1233 | 266.4798 | -29.0657 |   36 |   23 | 104 |   28 |   0.57 |   1.25 |   5.94 |
|  5537 | G359.9260-0.0461 | 266.4060 | -29.0233 |   27 |   19 | 151 |   23 |   0.73 |   1.03 |   5.92 |
|  5538 | G359.9295+0.1967 | 266.1714 | -28.8937 |   29 |   25 |  96 |   27 |   0.68 |   1.33 |  10.60 |
|  5539 | G359.9316-0.0626 | 266.4255 | -29.0272 |   32 |   23 | 122 |   27 |   1.53 |   2.99 |  13.02 |
|  5540 | G359.9320+0.0322 | 266.3332 | -28.9774 |   27 |   21 |  17 |   24 |   0.51 |   0.78 |   6.78 |
|  5541 | G359.9345-0.0454 | 266.4104 | -29.0157 |   40 |   25 | 112 |   32 |   3.12 |   8.43 |  26.65 |
|  5542 | G359.9388+0.1828 | 266.1905 | -28.8930 |   48 |   31 |   4 |   39 |   0.58 |   2.38 |   8.35 |
|  5543 | G359.9389-0.0527 | 266.4202 | -29.0158 |   27 |   19 |  -9 |   23 |   1.10 |   1.53 |   8.83 |
|  5544 | G359.9413+0.1728 | 266.2017 | -28.8961 |   34 |   28 | 136 |   31 |   2.74 |   7.00 |  37.70 |
|  5545 | G359.9425-0.0719 | 266.4410 | -29.0227 |   26 |   19 |  98 |   22 |   0.57 |   0.76 |   5.16 |
|  5546 | G359.9445+0.1528 | 266.2231 | -28.9039 |   40 |   21 |  65 |   29 |   3.67 |   8.42 |  50.92 |
|  5547 | G359.9450-0.0451 | 266.4164 | -29.0066 |   30 |   26 |  46 |   28 |   5.38 |  11.21 |  43.26 |
|  5548 | G359.9454-0.0855 | 266.4560 | -29.0273 |   39 |   26 |  24 |   32 |   1.01 |   2.77 |   8.69 |
|  5549 | G359.9459+0.0220 | 266.3514 | -28.9709 |   62 |   33 |  17 |   45 |   1.08 |   5.93 |  13.00 |
|  5550 | G359.9474-0.0366 | 266.4095 | -29.0001 |   36 |   26 |  -5 |   31 |   1.09 |   2.77 |   9.34 |
|  5551 | G359.9480+0.1450 | 266.2328 | -28.9049 |   24 |   19 |  28 |   22 |   0.73 |   0.92 |  10.49 |
|  5553 | G359.9532+0.0605 | 266.3182 | -28.9446 |   34 |   27 | -29 |   30 |   0.72 |   1.80 |   9.70 |
|  5554 | G359.9541-0.0768 | 266.4528 | -29.0154 |   40 |   21 | 144 |   29 |   1.19 |   2.72 |  10.43 |
|  5555 | G359.9553-0.0894 | 266.4657 | -29.0209 |   35 |   19 |  55 |   26 |   0.62 |   1.12 |   5.68 |
|  5556 | G359.9559-0.0442 | 266.4219 | -28.9968 |   37 |   30 | 103 |   33 |   1.70 |   5.17 |  15.06 |
|  5560 | G359.9703-0.4570 | 266.8342 | -29.1989 |   32 |   26 |  46 |   29 |   4.21 |   9.50 |  57.09 |
|  5561 | G359.9732-0.0721 | 266.4595 | -28.9966 |   88 |   35 | -34 |   56 |   3.40 |  28.63 |  28.97 |
|  5562 | G359.9745-0.0637 | 266.4520 | -28.9911 |   29 |   19 | -26 |   24 |   0.83 |   1.26 |   6.65 |
|  5563 | G359.9762+0.1691 | 266.2261 | -28.8683 |   32 |   21 |  -7 |   26 |   0.79 |   1.47 |  11.35 |
|  5564 | G359.9767+0.0714 | 266.3216 | -28.9189 |   48 |   23 | -13 |   34 |   0.54 |   1.65 |   7.69 |
|  5565 | G359.9790-0.4611 | 266.8434 | -29.1936 |   35 |   24 | 100 |   29 |   0.74 |   1.73 |  10.80 |
|  5566 | G359.9821-0.0810 | 266.4734 | -28.9936 |   22 |   19 | 104 |   21 |   0.64 |   0.75 |   5.88 |
|  5567 | G359.9838-0.0662 | 266.4600 | -28.9845 |   40 |   19 | 101 |   27 |   0.87 |   1.79 |   8.05 |
|  5568 | G359.9843+0.0260 | 266.3704 | -28.9360 |   43 |   34 | 162 |   38 |   0.65 |   2.55 |   7.50 |
|  5569 | G359.9860-0.1301 | 266.5237 | -29.0159 |   44 |   30 | 121 |   36 |   0.58 |   2.05 |   7.29 |
|  5570 | G359.9886-0.4599 | 266.8480 | -29.1848 |   27 |   19 |  -1 |   23 |   0.52 |   0.73 |   6.86 |
|  5571 | G359.9893-0.0459 | 266.4435 | -28.9692 |   26 |   24 |  53 |   25 |   1.20 |   2.01 |  11.42 |
|  5574 | G359.9903-0.0768 | 266.4742 | -28.9845 |   57 |   38 |  83 |   47 |   2.39 |  14.18 |  23.05 |
|  5576 | G359.9927+0.1075 | 266.2960 | -28.8863 |   74 |   38 | -29 |   53 |   0.64 |   4.89 |   9.55 |
|  5577 | G359.9927-0.0692 | 266.4683 | -28.9784 |   36 |   22 |  16 |   28 |   1.00 |   2.15 |   9.66 |
|  5578 | G359.9951-0.4732 | 266.8648 | -29.1861 |   41 |   24 |  43 |   32 |   0.69 |   1.88 |   9.39 |
|  5580 | G000.0002-0.0951 | 266.4980 | -28.9855 |   64 |   29 |  72 |   43 |   1.12 |   5.58 |  12.83 |
|  5581 | G000.0009-0.0592 | 266.4634 | -28.9663 |   54 |   22 | 152 |   34 |   1.08 |   3.42 |  10.40 |
|  5585 | G000.0043-0.0854 | 266.4910 | -28.9770 |   38 |   20 |  78 |   28 |   0.70 |   1.48 |   7.71 |
|  5586 | G000.0052+0.1574 | 266.2548 | -28.8496 |   38 |   29 | -36 |   33 |   1.56 |   4.67 |  21.00 |
|  5588 | G000.0105-0.0533 | 266.4633 | -28.9550 |   30 |   21 | 100 |   25 |   0.97 |   1.66 |   9.66 |
|  5589 | G000.0135-0.0184 | 266.4311 | -28.9342 |   47 |   37 | 132 |   42 |   3.48 |  16.43 |  36.03 |
|  5590 | G000.0154-0.0241 | 266.4378 | -28.9356 |   21 |   19 |  60 |   20 |   0.64 |   0.70 |   6.33 |
|  5591 | G000.0154+0.0365 | 266.3787 | -28.9040 |   56 |   36 |  10 |   45 |   1.48 |   8.19 |  18.94 |
|  5592 | G000.0173+0.0044 | 266.4111 | -28.9191 |   39 |   23 |  22 |   30 |   0.67 |   1.60 |   6.98 |
|  5593 | G000.0191-0.0511 | 266.4663 | -28.9465 |   46 |   28 |   2 |   36 |   1.73 |   5.99 |  17.96 |
|  5594 | G000.0201-0.0059 | 266.4229 | -28.9221 |   46 |   26 | 115 |   35 |   1.75 |   5.81 |  19.10 |
|  5598 | G000.0333+0.0238 | 266.4017 | -28.8953 |   41 |   37 |  36 |   39 |   0.77 |   3.20 |   9.90 |
|  5599 | G000.0335+0.2051 | 266.2253 | -28.8006 |   53 |   38 |  42 |   45 |   0.59 |   3.20 |   8.59 |
|  5600 | G000.0355+0.2241 | 266.2079 | -28.7890 |   42 |   30 | 111 |   35 |   0.52 |   1.77 |   7.78 |
|  5605 | G000.0444+0.0292 | 266.4031 | -28.8831 |   35 |   27 |  -3 |   31 |   1.13 |   2.87 |  14.41 |
|  5606 | G000.0468-0.2200 | 266.6477 | -29.0107 |   31 |   21 | -23 |   25 |   0.51 |   0.87 |   7.67 |
|  5607 | G000.0474+0.1124 | 266.3237 | -28.8371 |   47 |   28 |  22 |   37 |   0.80 |   2.88 |  11.21 |
|  5608 | G000.0498-0.0781 | 266.5110 | -28.9343 |   24 |   19 |  76 |   21 |   0.69 |   0.87 |   8.63 |
|  5610 | G000.0511-0.0259 | 266.4608 | -28.9060 |   56 |   30 | 139 |   41 |   0.70 |   3.17 |   8.27 |
|  5611 | G000.0526-0.2077 | 266.6392 | -28.9993 |   48 |   38 |  51 |   43 |   1.45 |   7.17 |  21.46 |
|  5612 | G000.0534+0.0258 | 266.4118 | -28.8772 |   55 |   28 |  45 |   39 |   2.24 |   9.28 |  27.93 |
|  5617 | G000.0620-0.0682 | 266.5085 | -28.9187 |   26 |   19 | 125 |   22 |   0.87 |   1.17 |   9.19 |
|  5618 | G000.0622-0.0782 | 266.5184 | -28.9238 |   51 |   51 |  81 |   51 |   3.37 |  23.62 |  37.78 |
|  5619 | G000.0623+0.1775 | 266.2693 | -28.7905 |   41 |   28 |  19 |   34 |   0.51 |   1.59 |   7.19 |
|  5620 | G000.0693+0.2127 | 266.2392 | -28.7661 |   40 |   28 | -20 |   33 |   0.51 |   1.53 |   6.91 |
|  5621 | G000.0695+0.0494 | 266.3983 | -28.8511 |   43 |   27 | 104 |   34 |   0.85 |   2.74 |  12.03 |
|  5623 | G000.0734+0.1697 | 266.2835 | -28.7851 |   61 |   25 |  47 |   39 |   0.82 |   3.41 |  11.37 |
|  5624 | G000.0741-0.0729 | 266.5204 | -28.9109 |   42 |   30 |  22 |   35 |   1.88 |   6.27 |  22.11 |
|  5625 | G000.0758-0.0021 | 266.4522 | -28.8726 |   35 |   19 |  86 |   26 |   0.57 |   1.02 |   7.23 |
|  5626 | G000.0758-0.1466 | 266.5932 | -28.9477 |   24 |   19 |  16 |   21 |   0.65 |   0.81 |   9.37 |
|  5627 | G000.0779-0.0837 | 266.5331 | -28.9133 |   37 |   20 |  32 |   27 |   0.75 |   1.54 |   8.77 |
|  5629 | G000.0833-0.0096 | 266.4641 | -28.8700 |   35 |   27 |  22 |   31 |   1.23 |   3.11 |  15.67 |
|  5630 | G000.0836-0.6408 | 267.0816 | -29.1970 |   30 |   28 |  14 |   29 |   0.86 |   1.90 |  11.49 |
|  5631 | G000.0850+0.1642 | 266.2957 | -28.7781 |   36 |   21 | 107 |   27 |   0.59 |   1.19 |   8.35 |
|  5633 | G000.0881+0.0547 | 266.4043 | -28.8325 |   59 |   31 |  14 |   43 |   0.64 |   3.14 |   9.06 |
|  5635 | G000.0898-0.6633 | 267.1073 | -29.2033 |   33 |   25 | 108 |   29 |   3.99 |   8.89 |  51.67 |
|  5637 | G000.0939-0.1096 | 266.5679 | -28.9130 |   34 |   25 |   3 |   29 |   0.64 |   1.49 |   8.26 |
|  5640 | G000.0961-0.0800 | 266.5403 | -28.8958 |   41 |   23 |  94 |   31 |   0.93 |   2.35 |  11.04 |
|  5641 | G000.0971-0.0045 | 266.4672 | -28.8556 |   42 |   34 | -16 |   38 |   1.67 |   6.40 |  21.62 |
|  5642 | G000.0971-0.1649 | 266.6238 | -28.9391 |   27 |   22 |  92 |   25 |   1.30 |   2.11 |  18.63 |
|  5643 | G000.0976-0.1305 | 266.5904 | -28.9207 |   59 |   28 |  37 |   41 |   0.73 |   3.31 |   8.98 |
|  5644 | G000.0990+0.1768 | 266.2918 | -28.7595 |   43 |   28 | 114 |   35 |   0.61 |   2.02 |   8.09 |
|  5646 | G000.1049-0.0823 | 266.5477 | -28.8894 |   54 |   43 |  26 |   48 |   2.89 |  18.11 |  34.63 |
|  5648 | G000.1073-0.0635 | 266.5309 | -28.8776 |   33 |   33 |  -2 |   33 |   1.01 |   3.04 |  11.44 |
|  5649 | G000.1097+0.0020 | 266.4684 | -28.8415 |   33 |   33 |  94 |   33 |   2.51 |   7.29 |  32.36 |
|  5650 | G000.1101+0.1476 | 266.3268 | -28.7652 |   70 |   39 |   8 |   52 |   0.91 |   6.73 |  12.86 |
|  5652 | G000.1122-0.6795 | 267.1364 | -29.1925 |   40 |   21 |  98 |   29 |   0.55 |   1.27 |   7.41 |
|  5654 | G000.1128-0.0724 | 266.5428 | -28.8775 |   55 |   21 |  -4 |   34 |   0.57 |   1.80 |   6.43 |
|  5655 | G000.1150-0.1399 | 266.6100 | -28.9107 |   49 |   23 |  61 |   34 |   0.63 |   1.96 |   8.35 |
|  5657 | G000.1162-0.0198 | 266.4934 | -28.8473 |   31 |   20 |  70 |   25 |   1.15 |   1.92 |  14.52 |
|  5659 | G000.1185-0.1116 | 266.5844 | -28.8930 |   29 |   20 | 103 |   24 |   0.80 |   1.27 |  10.80 |
|  5660 | G000.1189-0.6950 | 267.1555 | -29.1947 |   34 |   26 | 111 |   30 |   0.58 |   1.39 |   8.62 |
|  5663 | G000.1203+0.0876 | 266.3913 | -28.7878 |   64 |   34 |  -6 |   47 |   0.53 |   3.20 |   6.85 |
|  5664 | G000.1213+0.1542 | 266.3270 | -28.7523 |   34 |   27 |  37 |   30 |   0.53 |   1.32 |   7.97 |
|  5665 | G000.1213+0.0060 | 266.4714 | -28.8295 |   66 |   32 |  22 |   46 |   0.74 |   4.20 |   9.68 |
|  5668 | G000.1260-0.0736 | 266.5518 | -28.8669 |   42 |   32 |  96 |   36 |   0.81 |   2.92 |  10.74 |
|  5670 | G000.1293+0.0227 | 266.4599 | -28.8139 |   47 |   22 | 104 |   32 |   0.78 |   2.16 |  10.60 |
|  5673 | G000.1315-0.1299 | 266.6100 | -28.8915 |   24 |   20 |  36 |   22 |   0.65 |   0.86 |   7.79 |
|  5676 | G000.1387-0.0850 | 266.5705 | -28.8620 |   80 |   40 |  26 |   56 |   1.57 |  13.40 |  19.58 |
|  5677 | G000.1388-0.1384 | 266.6226 | -28.8896 |   38 |   30 |   0 |   34 |   0.65 |   2.03 |   8.56 |
|  5679 | G000.1392+0.0202 | 266.4682 | -28.8068 |   45 |   32 |  31 |   38 |   1.83 |   7.06 |  22.96 |
|  5680 | G000.1409+0.0054 | 266.4837 | -28.8131 |   38 |   22 | -24 |   29 |   0.83 |   1.89 |  10.59 |
|  5682 | G000.1458+0.0276 | 266.4649 | -28.7973 |   58 |   25 |  35 |   38 |   0.91 |   3.56 |  11.42 |
|  5683 | G000.1549-0.0820 | 266.5772 | -28.8466 |   35 |   21 |  47 |   27 |   0.93 |   1.85 |  10.83 |
|  5684 | G000.1558-0.4526 | 266.9398 | -29.0379 |   44 |   34 | -39 |   39 |   0.64 |   2.56 |   9.35 |
|  5685 | G000.1582-0.0941 | 266.5909 | -28.8501 |   60 |   46 | 140 |   53 |   1.16 |   8.74 |  12.60 |
|  5686 | G000.1583-0.0387 | 266.5370 | -28.8211 |   57 |   35 |  13 |   45 |   1.08 |   5.81 |  13.12 |
|  5687 | G000.1620+0.0786 | 266.4248 | -28.7570 |   39 |   29 |  85 |   34 |   0.99 |   3.02 |  13.56 |
|  5688 | G000.1622+0.0656 | 266.4377 | -28.7636 |   29 |   23 |  90 |   26 |   0.85 |   1.54 |  11.71 |
