|   Seq |             Name |       ra |      dec | amaj | amin |  PA | FWHM |   Sp |  Sint |   S_N | nYSOs | nMIPS | nSIMBAD | nSF |
|  5855 | G000.4766-0.0068 | 266.6944 | -28.5327 |   49 |   34 |  97 |   41 | 7.29 | 32.72 | 81.38 |     0 |     0 |       0 |   0 |
|  5856 | G000.4771+0.0041 | 266.6841 | -28.5266 |   33 |   32 | 153 |   32 | 1.91 |  5.47 | 22.07 |     0 |     0 |       0 |   0 |
|  5860 | G000.4842-0.1103 | 266.7996 | -28.5797 |   38 |   29 |  92 |   33 | 0.79 |  2.35 | 11.86 |     0 |     0 |       0 |   0 |
|  5862 | G000.4849+0.0068 |  266.686 | -28.5184 |   35 |   28 |  12 |   31 |  1.0 |  2.65 | 12.63 |     0 |     0 |       0 |   0 |
|  5864 | G000.4869-0.0074 |  266.701 | -28.5241 |   44 |   26 | 100 |   34 | 1.51 |  4.77 | 17.69 |     0 |     0 |       0 |   0 |
|  5870 | G000.4935+0.1723 | 266.5302 | -28.4251 |   36 |   28 | 136 |   32 | 0.82 |  2.26 | 11.74 |     0 |     0 |       0 |   0 |
|  5871 | G000.4940-0.1144 | 266.8093 | -28.5735 |   31 |   27 | 113 |   29 | 0.67 |  1.55 |  9.84 |     0 |     0 |       0 |   0 |
|  5873 | G000.4942+0.0194 | 266.6793 |  -28.504 |   57 |   29 | 129 |   41 | 3.25 | 14.57 | 41.25 |     0 |     0 |       0 |   0 |
|  5879 | G000.4997+0.0178 | 266.6841 | -28.5001 |   22 |   19 |  25 |   21 |  0.6 |  0.69 |  7.49 |     0 |     0 |       0 |   0 |
|  5882 | G000.5041+0.1404 | 266.5674 | -28.4326 |   35 |   20 |  67 |   26 | 0.55 |  1.04 |  8.67 |     0 |     0 |       0 |   0 |
|  5884 | G000.5080-0.0784 | 266.7826 | -28.5429 |   42 |   26 |  82 |   33 | 0.74 |  2.15 | 10.84 |     0 |     0 |       0 |   0 |
|  5886 | G000.5117+0.0062 | 266.7024 | -28.4959 |   26 |   19 |  36 |   22 | 0.55 |  0.73 |  7.12 |     0 |     0 |       0 |   0 |
|  5888 | G000.5136+0.1252 | 266.5879 | -28.4324 |   36 |   23 |  46 |   29 | 0.56 |  1.25 |   8.7 |     0 |     0 |       0 |   0 |
|  5889 | G000.5151-0.1057 | 266.8133 |  -28.551 |   32 |   21 |  80 |   26 | 0.55 |   1.0 |  7.48 |     0 |     0 |       0 |   0 |
|  5893 | G000.5184-0.0046 | 266.7169 | -28.4957 |   53 |   28 |  30 |   38 | 0.91 |  3.63 | 11.67 |     0 |     0 |       0 |   0 |
|  5894 | G000.5184-0.6127 | 267.3102 | -28.8099 |   22 |   19 |  68 |   21 | 0.51 |  0.59 |  6.91 |     0 |     0 |       0 |   0 |
|  5900 | G000.5266+0.1942 | 266.5286 | -28.3855 |   33 |   19 |  92 |   25 | 0.61 |  1.05 |  8.72 |     0 |     0 |       0 |   0 |
|  5901 | G000.5266-0.6508 | 267.3523 | -28.8225 |   26 |   19 | -14 |   22 | 0.54 |  0.72 |  7.58 |     0 |     0 |       0 |   0 |
|  5905 | G000.5351-0.6329 | 267.3397 |  -28.806 |   28 |   23 | -16 |   26 | 0.54 |  0.96 |  7.87 |     0 |     0 |       0 |   0 |
|  5906 | G000.5368-0.0648 | 266.7863 | -28.5112 |   30 |   19 |  -1 |   24 | 0.63 |  0.96 |  7.86 |     0 |     0 |       0 |   0 |
|  5922 | G000.5549-0.0205 | 266.7538 | -28.4728 |   22 |   20 |  68 |   21 |  0.9 |  1.08 |  11.3 |     0 |     0 |       0 |   0 |
|  5923 | G000.5568-0.0289 | 266.7632 | -28.4755 |   41 |   25 | 102 |   32 | 1.46 |  4.04 | 16.49 |     0 |     0 |       0 |   0 |
|  5925 | G000.5580+0.0365 | 266.7003 | -28.4405 |   50 |   27 |  66 |   37 | 0.71 |  2.55 |  9.22 |     0 |     0 |       0 |   0 |
|  5927 | G000.5622-0.0381 | 266.7753 | -28.4757 |   32 |   19 | 119 |   25 | 0.53 |  0.89 |  6.06 |     0 |     0 |       0 |   0 |
|  5931 | G000.5652+0.0229 | 266.7177 | -28.4415 |   74 |   32 |  81 |   49 |  1.1 |  7.22 | 14.01 |     0 |     0 |       0 |   0 |
|  5932 | G000.5688-0.0236 | 266.7651 | -28.4625 |   48 |   20 |  76 |   31 | 0.95 |  2.43 | 10.11 |     0 |     0 |       0 |   0 |
|  5944 | G000.5874-0.0189 | 266.7715 | -28.4441 |   27 |   19 |  79 |   23 |  0.9 |  1.25 |  10.0 |     0 |     0 |       0 |   0 |
|  5954 | G000.6033+0.0025 | 266.7601 | -28.4194 |   24 |   21 |  37 |   23 | 1.79 |  2.46 | 17.82 |     0 |     0 |       0 |   0 |
|  5960 | G000.6099-0.0592 |  266.824 | -28.4458 |   40 |   19 | 109 |   28 | 0.64 |  1.33 |  5.86 |     0 |     0 |       0 |   0 |
|  5962 | G000.6147-0.0830 | 266.8499 |  -28.454 |   38 |   31 |  22 |   34 | 1.29 |  4.11 |  14.1 |     0 |     0 |       0 |   0 |
|  5963 | G000.6152-0.0677 | 266.8354 | -28.4456 |   41 |   21 | 121 |   29 | 0.65 |  1.52 |  5.78 |     0 |     0 |       0 |   0 |
|  5965 | G000.6183+0.0113 | 266.7603 | -28.4021 |   27 |   19 | 110 |   23 | 0.74 |  1.03 |  8.37 |     0 |     0 |       0 |   0 |
|  5967 | G000.6192-0.0562 | 266.8265 | -28.4363 |   31 |   19 |  -1 |   24 | 2.44 |  3.97 | 21.53 |     0 |     0 |       0 |   0 |
|  5968 | G000.6195-0.1022 | 266.8714 | -28.4598 |   24 |   19 |  84 |   22 | 0.65 |  0.82 |  6.82 |     0 |     0 |       0 |   0 |
|  5970 | G000.6226-0.0875 |  266.859 | -28.4496 |   23 |   19 |  36 |   21 | 0.64 |  0.75 |  6.33 |     0 |     0 |       0 |   0 |
|  5972 | G000.6255-0.0956 | 266.8686 | -28.4514 |   38 |   25 | 102 |   31 | 2.75 |  7.01 |  29.5 |     0 |     0 |       0 |   0 |
|  5985 | G000.6463+0.0445 | 266.7446 | -28.3609 |   34 |   34 |  82 |   34 | 0.85 |  2.69 |  9.87 |     0 |     0 |       0 |   0 |
|  5989 | G000.6494+0.0693 | 266.7223 | -28.3454 |   37 |   26 |  54 |   31 | 0.55 |  1.46 |  7.21 |     0 |     0 |       0 |   0 |
