   Long    Lat   Vlsr       Dist sigma_D    Prob     Arm     ExtraInformation
  23.47   0.10   85.4       5.57    0.43    0.49     Nor     G023.4742+0.1037    
  23.48   0.11   85.4       5.56    0.43    0.49     Nor     G023.4771+0.1147    
  23.52   0.24   82.2       5.40    0.60    0.48     Nor     G023.5176+0.2425    
  23.89   0.41   89.1       9.23    0.28    0.67     ScF     G023.8923+0.4071    
  23.98   0.15   77.2       4.43    0.72    0.41     ScN     G023.9790+0.1498    
  24.02   0.21  105.0       5.98    0.23    0.85     Nor     G024.0179+0.2107    
  24.02   0.24   96.2       9.21    0.26    0.51     ScF     G024.0234+0.2431    
  24.05  -0.21   81.1       4.80    0.69    0.46     ...     G024.0492-0.2145    
  24.26   0.10   99.4       5.89    0.24    0.63     Nor     G024.2583+0.1022    
  24.35   0.06  117.2       7.29    1.02    0.84     ...     G024.3462+0.0626    
  24.43   0.32  114.1       6.81    0.79    0.48     ...     G024.4326+0.3238    
  24.52  -0.14   90.3       5.73    0.32    0.58     Nor     G024.5245-0.1397    
  24.53   0.32  107.8       6.02    0.23    0.76     Nor     G024.5269+0.3232    
  24.55  -0.21  100.6       5.91    0.23    0.92     Nor     G024.5458-0.2144    
  24.56   0.34  107.4       6.02    0.23    0.73     Nor     G024.5611+0.3413    
  24.67  -0.12  112.2       6.07    0.26    1.00     Nor     G024.6669-0.1154    
  24.69  -0.13  108.2       6.02    0.23    0.91     Nor     G024.6897-0.1253    
  24.74   0.16  107.4       6.02    0.23    0.70     Nor     G024.7441+0.1624    
  25.15  -0.29   63.5       3.74    0.30    1.00     ScN     G025.1526-0.2906    
  25.80   0.27  110.5       8.67    0.33    1.00     ScF     G025.8048+0.2712    
  26.29   0.13  111.3       8.51    0.39    1.00     ScF?    G026.2895+0.1343    
  26.34   0.14  110.5       8.52    0.36    1.00     ScF?    G026.3438+0.1365    
  26.58  -0.32  108.3       6.51    0.91    0.58     ...?    G026.5753-0.3244    
  27.46   0.12  100.4       8.40    0.33    0.89     ScF     G027.4646+0.1189    
  28.19  -0.07   98.2       8.19    0.41    0.81     ScF     G028.1943-0.0747    
  28.27  -0.17   79.6       4.50    0.29    1.00     ScN     G028.2726-0.1666    
  28.52  -0.25   87.3       4.69    0.35    0.89     ScN     G028.5246-0.2519    
  28.54  -0.24   84.3       4.62    0.31    1.00     ScN     G028.5413-0.2371    
  29.56   0.19   79.8       4.58    0.30    1.00     ScN     G029.5561+0.1861    
  29.84  -0.03  100.2       7.67    0.47    0.65     ScF     G029.8406-0.0342    
  29.92  -0.01   95.8       7.66    0.59    0.52     ScF     G029.9206-0.0140    
  29.94  -0.79   98.9       5.85    1.82    0.82     ScF?    G029.9405-0.7886    
  30.01  -0.12   98.9       6.89    1.13    0.64     ScF     G030.0062-0.1192    
  30.06   0.10   97.6       6.75    1.27    0.71     ScF     G030.0556+0.0995    
  30.42  -0.21  104.4       7.23    0.64    1.00     ScF     G030.4235-0.2142    
  30.57  -0.03   87.9       4.86    0.39    0.92     ScN     G030.5682-0.0258    
  30.66   0.04   81.9       4.66    0.33    1.00     ScN     G030.6574+0.0446    
  30.68  -0.04   89.5       4.99    0.36    0.64     ScN     G030.6783-0.0386    
  30.69  -0.03   89.5       5.00    0.36    0.64     ScN     G030.6858-0.0306    
  30.79  -0.12   92.3       5.31    1.14    0.41     ScN     G030.7912-0.1173    
  30.79   0.07   36.4       2.06    0.09    0.83     SgN     G030.7941+0.0736    
  30.81  -0.02   95.1       5.77    0.84    0.42     ScF     G030.8130-0.0235    
  30.84   0.18   96.7       6.52    1.09    0.77     ScF     G030.8447+0.1775    
  30.85  -0.11   99.8       6.34    0.70    0.61     ScF     G030.8523-0.1086    
  30.86   0.04   92.1       5.13    0.35    0.66     ScN     G030.8620+0.0392    
  30.86  -0.04   94.4       5.65    0.82    0.39     ScF     G030.8624-0.0394    
  30.87  -0.12  101.3       6.91    0.82    1.00     ScF     G030.8666-0.1197    
  31.15   0.26  102.3       6.62    0.76    1.00     ScF     G031.1496+0.2650    
  31.39   0.31   95.7       5.99    0.79    0.79     ScF     G031.3944+0.3067    
  31.70  -0.19  104.0       6.67    0.72    1.00     ScF     G031.6972-0.1871    
  32.00  -0.20   96.6       6.10    0.80    0.71     ScF     G032.0016-0.1987    
  33.13  -0.02  102.8       6.54    0.51    1.00     ScF     G033.1345-0.0221    
  33.20   0.02  101.2       6.50    0.52    1.00     ScF     G033.2011+0.0194    
  33.42   0.12   83.1       5.24    0.29    0.90     AqS     G033.4196+0.1249    
  33.45  -0.08  109.2       6.55    0.48    1.00     ScF     G033.4526-0.0810    
  33.62  -0.03  103.6       6.50    0.48    1.00     ScF     G033.6218-0.0335    
  34.74  -0.12   79.0       4.77    0.40    1.00     AqS     G034.7391-0.1197    
  34.78  -0.57   41.3       2.20    0.14    1.00     SgN     G034.7798-0.5671    
  35.20  -0.73   33.9       2.19    0.13    1.00     SgN     G035.2006-0.7253    
  35.44  -0.01   94.9       5.83    0.57    0.76     ScF     G035.4440-0.0089    
  43.14  -0.06    5.9      11.54    0.40    0.83     Per     G043.1401-0.0592    
  43.23  -0.04    6.2      11.52    0.39    0.95     Per     G043.2256-0.0391    
  45.42   0.08   55.5       7.96    0.36    0.92     SgF     G045.4212+0.0838    
  45.54   0.14   58.6       7.84    0.39    0.89     SgF     G045.5356+0.1411    
  48.89  -0.27   67.3       5.69    0.54    1.00     SgF     G048.8905-0.2649    
  49.05  -0.33   65.2       5.82    0.66    1.00     SgF     G049.0548-0.3340    
  49.25  -0.41   66.1       5.82    0.62    1.00     SgF     G049.2527-0.4106    
  49.32  -0.35   67.6       5.77    0.60    1.00     SgF     G049.3228-0.3461    
  49.35  -0.35   67.6       5.77    0.60    1.00     SgF     G049.3538-0.3538    
  49.40  -0.23   50.8       5.02    0.87    0.61     SgN     G049.4011-0.2263    
  49.41  -0.35   63.9       5.82    0.63    1.00     SgF     G049.4134-0.3537    
  49.47  -0.30   60.5       5.81    0.72    1.00     SgF     G049.4739-0.2957    
  49.49  -0.29   61.5       5.80    0.68    1.00     SgF     G049.4909-0.2857    
  49.53  -0.35   57.8       5.79    0.82    1.00     SgF     G049.5300-0.3478    
 305.09   0.25  -39.9       6.15    0.96    0.61     ...?    G305.0943+0.2510    
 305.10   0.09  -34.5       6.79    0.89    0.64     ...?    G305.0955+0.0877    
 305.15   0.05  -36.7       6.58    0.91    0.63     ...?    G305.1543+0.0477    
 305.17   0.01  -32.5       7.02    0.86    0.67     ...?    G305.1721+0.0079    
 305.24  -0.02  -28.4       7.43    0.79    0.73     ...?    G305.2350-0.0231    
 305.26   0.33  -39.3       6.22    0.94    0.57     ...?    G305.2581+0.3275    
 305.27  -0.03  -32.2       7.08    0.85    0.67     ...?    G305.2719-0.0309    
 305.32   0.31  -40.3       6.15    0.95    0.58     ...?    G305.3187+0.3130    
 305.38   0.26  -36.5       6.60    0.91    0.60     ...?    G305.3834+0.2565    
 305.41   0.21  -38.5       6.44    0.93    0.61     ...?    G305.4126+0.2061    
 305.55  -0.06  -41.5       5.53    1.66    1.00     ...?    G305.5476-0.0559    
 305.59   0.46  -36.5       6.47    0.96    0.52     ...?    G305.5890+0.4609    
 307.61  -0.29  -36.8       7.29    0.85    0.61     ...?    G307.6099-0.2937    
 317.36   0.13  -44.2       9.49    0.54    0.76     ...?    G317.3645+0.1283    
 317.39   0.12  -41.2       9.69    0.53    0.78     ...?    G317.3887+0.1195    
