  Name                  nYSOs
  G319.8307+0.7918      0 
  G319.8354-0.1972      2 
  G319.8623+0.7840      0 
  G319.8712+0.7869      1 
  G319.8990+0.7906      0 
  G320.0243-0.9592      1 
  G320.1224+0.7894      1 
  G320.1261-0.5061      1 
  G320.1406-0.4104      0 
  G320.1487-0.4076      1 
  G320.1537+0.7879      0 
  G320.1573+0.8229      0 
  G320.1623+0.9109      5 
  G320.1683+0.8242      0 
  G320.1756+0.8155      0 
  G320.1758+0.8306      0 
  G320.1873+0.7909      0 
  G320.1936+0.8481      2 
  G320.2018+0.8588      0 
  G320.2298-0.1653      0 
  G320.2325-0.2844      1 
  G320.2374+0.4032      3 
  G320.2394-0.2878      0 
  G320.2396-0.1336      0 
  G320.2440-0.5629      0 
  G320.2456-0.2953      0 
  G320.2469+0.4048      0 
  G320.2469+0.4162      0 
  G320.2496+0.4451      1 
  G320.2512-0.1894      0 
  G320.2638-0.1920      1 
  G320.2715+0.2920      0 
  G320.2779-0.3233      1 
  G320.2858-0.3089      1 
  G320.2932-0.3137      0 
  G320.3114-0.1819      1 
  G320.3149-0.1901      0 
  G320.3183-0.1759      0 
  G320.3242-0.1836      0 
  G320.3301-0.3077      0 
  G320.3382-0.1637      0 
  G320.3385-0.1534      0 
  G320.3482-0.2230      0 
  G320.3596-0.2810      1 
  G320.3677-0.2821      0 
  G320.3817+0.1779      0 
  G320.3900+0.1223      2 
  G320.4147+0.1164      0 
  G320.4151-0.9053      2 
  G320.4160-0.9374      4 
  G320.4236+0.0893      1 
  G320.4278+0.1018      2 
  G320.5956-0.1957      1 
  G320.6489+0.3725      1 
  G320.6692+0.1508      0 
  G320.6747+0.2334      0 
  G320.6755+0.2437      1 
  G320.7792+0.2438      0 
  G320.7904+0.7179      3 
  G320.7916+0.2634      1 
  G320.8495-0.5359      0 
  G320.8803-0.3970      2 
  G320.8912-0.4123      0 
  G321.0151-0.5214      0 
  G321.0292-0.4827      1 
  G321.0545-0.5080      0 
  G321.1250-0.2652      0 
  G321.1476-0.5704      0 
  G321.1484-0.5306      0 
  G321.3792-0.3012      4 
  G321.3809-0.2876      0 
  G321.6509-0.0235      0 
  G321.7078+0.0603      2 
  G321.7373-0.6642      0 
  G321.7565+0.0304      0 
  G321.9036-0.0154      1 
  G321.9348-0.0066      4 
  G322.1061+0.2814      1 
  G322.1546+0.6275      0 
  G322.1581+0.6354      0 
  G322.1632+0.6221      0 
  G322.1632+0.6459      0 
  G322.1677+0.6353      0 
  G322.3834+0.5328      1 
  G322.5206+0.6358      3 
  G322.5729-0.4971      1 
  G322.7046-0.3309      0 
  G322.8127+0.7978      2 
  G322.8981+0.0063      0 
  G323.1711+0.1394      4 
  G323.1920+0.1529      3 
  G323.3699+0.1670      0 
  G323.4448+0.0961      2 
  G323.4518-0.0842      1 
  G323.4589-0.0800      0 
  G323.4661-0.0828      1 
  G323.5056+0.0461      1 
  G323.7184-0.2858      1 
  G323.7269-0.2800      3 
  G323.7343-0.2693      0 
  G323.7407-0.2635      3 
  G323.7497-0.2604      0 
  G323.7517+0.4379      0 
  G323.7943-0.3973      0 
  G323.7995+0.0176      0 
  G323.8457+0.0526      2 
  G323.8583+0.0406      2 
  G323.9125+0.3905      1 
  G323.9187+0.0348      0 
  G323.9839+0.0697      0 
  G324.0942-0.1138      3 
  G324.1134+0.4358      2 
  G324.1615+0.2285      0 
  G324.1622+0.2662      0 
  G324.1712+0.4391      0 
  G324.1849+0.4055      1 
  G324.1934+0.1262      0 
  G324.1965+0.1142      0 
  G324.2006+0.1208      0 
  G324.2047+0.1136      0 
  G324.3220+0.5243      2 
  G324.3308+0.5144      0 
  G324.3925-0.4124      2 
  G324.4887-0.2314      3 
  G324.7171+0.3416      1 
  G324.9230-0.5688      1 
  G325.1242+0.0334      0 
  G325.1266+0.0241      0 
  G325.1941-0.0845      2 
  G325.3405-0.0090      1 
  G325.5145+0.4154      0 
  G326.2678-0.4854      0 
  G326.2828-0.5924      0 
  G326.3144-0.4817      1 
  G326.3222-0.3933      0 
  G326.3405+0.5048      1 
  G326.4006+0.9326      0 
  G326.4075+0.9268      2 
  G326.4194+0.9204      1 
  G326.4320+0.9152      0 
  G326.4461+0.9080      0 
  G326.4487-0.7496      0 
  G326.4491+0.8939      0 
  G326.4608+0.8931      0 
  G326.4688-0.3688      0 
  G326.4724+0.8896      0 
  G326.4729-0.3780      0 
  G326.4733+0.8787      6 
  G326.4745+0.7027      1 
  G326.4760+0.6940      0 
  G326.4778+0.8514      1 
  G326.4923+0.8820      0 
  G326.4938-0.2251      3 
